Pubchem_CID,Inchikey,Targets ,Canonical_smiles,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SF1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SFN,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SLK,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SMAD2,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SMAD3,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SMAD4,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SMURF1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SPEN,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SRPK1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SRSF1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SSU72,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,STUB1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SYMPK,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SYT1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,TAOK1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,TAOK2,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,TBK1,P(OCC(N)C(O)=O)(O)(O)=O,
